#      k          |W(k)|^{2}    
    0.000500      0.999999
    0.001500      0.999995
    0.002500      0.999987
    0.003500      0.999974
    0.004500      0.999958
    0.005500      0.999937
    0.006500      0.999912
    0.007500      0.999883
    0.008500      0.999849
    0.009500      0.999812
    0.010500      0.999770
    0.011500      0.999725
    0.012500      0.999675
    0.013500      0.999620
    0.014500      0.999562
    0.015500      0.999500
    0.016500      0.999433
    0.017500      0.999362
    0.018500      0.999287
    0.019500      0.999208
    0.020500      0.999125
    0.021500      0.999037
    0.022500      0.998946
    0.023500      0.998850
    0.024500      0.998750
    0.025500      0.998646
    0.026500      0.998538
    0.027500      0.998426
    0.028500      0.998309
    0.029500      0.998188
    0.030500      0.998064
    0.031500      0.997935
    0.032500      0.997802
    0.033500      0.997664
    0.034500      0.997523
    0.035500      0.997378
    0.036500      0.997228
    0.037500      0.997074
    0.038500      0.996916
    0.039500      0.996754
    0.040500      0.996588
    0.041500      0.996418
    0.042500      0.996243
    0.043500      0.996065
    0.044500      0.995882
    0.045500      0.995695
    0.046500      0.995504
    0.047500      0.995309
    0.048500      0.995110
    0.049500      0.994907
    0.050500      0.994699
    0.051500      0.994488
    0.052500      0.994272
    0.053500      0.994053
    0.054500      0.993829
    0.055500      0.993601
    0.056500      0.993369
    0.057500      0.993133
    0.058500      0.992893
    0.059500      0.992648
    0.060500      0.992400
    0.061500      0.992148
    0.062500      0.991891
    0.063500      0.991630
    0.064500      0.991366
    0.065500      0.991097
    0.066500      0.990824
    0.067500      0.990547
    0.068500      0.990266
    0.069500      0.989981
    0.070500      0.989692
    0.071500      0.989399
    0.072500      0.989102
    0.073500      0.988801
    0.074500      0.988496
    0.075500      0.988186
    0.076500      0.987873
    0.077500      0.987556
    0.078500      0.987234
    0.079500      0.986909
    0.080500      0.986579
    0.081500      0.986246
    0.082500      0.985908
    0.083500      0.985567
    0.084500      0.985221
    0.085500      0.984872
    0.086500      0.984518
    0.087500      0.984161
    0.088500      0.983799
    0.089500      0.983434
    0.090500      0.983065
    0.091500      0.982691
    0.092500      0.982314
    0.093500      0.981932
    0.094500      0.981547
    0.095500      0.981158
    0.096500      0.980764
    0.097500      0.980367
    0.098500      0.979966
    0.099500      0.979561
    0.100500      0.979152
    0.101500      0.978739
    0.102500      0.978322
    0.103500      0.977901
    0.104500      0.977476
    0.105500      0.977047
    0.106500      0.976614
    0.107500      0.976178
    0.108500      0.975737
    0.109500      0.975293
    0.110500      0.974845
    0.111500      0.974393
    0.112500      0.973937
    0.113500      0.973477
    0.114500      0.973013
    0.115500      0.972545
    0.116500      0.972074
    0.117500      0.971598
    0.118500      0.971119
    0.119500      0.970636
    0.120500      0.970149
    0.121500      0.969658
    0.122500      0.969164
    0.123500      0.968665
    0.124500      0.968163
    0.125500      0.967657
    0.126500      0.967147
    0.127500      0.966633
    0.128500      0.966116
    0.129500      0.965594
    0.130500      0.965069
    0.131500      0.964540
    0.132500      0.964008
    0.133500      0.963471
    0.134500      0.962931
    0.135500      0.962387
    0.136500      0.961839
    0.137500      0.961288
    0.138500      0.960732
    0.139500      0.960173
    0.140500      0.959611
    0.141500      0.959044
    0.142500      0.958474
    0.143500      0.957900
    0.144500      0.957323
    0.145500      0.956741
    0.146500      0.956156
    0.147500      0.955568
    0.148500      0.954975
    0.149500      0.954379
    0.150500      0.953780
    0.151500      0.953176
    0.152500      0.952569
    0.153500      0.951959
    0.154500      0.951344
    0.155500      0.950727
    0.156500      0.950105
    0.157500      0.949480
    0.158500      0.948851
    0.159500      0.948219
    0.160500      0.947583
    0.161500      0.946943
    0.162500      0.946300
    0.163500      0.945653
    0.164500      0.945003
    0.165500      0.944349
    0.166500      0.943691
    0.167500      0.943030
    0.168500      0.942365
    0.169500      0.941697
    0.170500      0.941026
    0.171500      0.940350
    0.172500      0.939672
    0.173500      0.938989
    0.174500      0.938304
    0.175500      0.937614
    0.176500      0.936922
    0.177500      0.936226
    0.178500      0.935526
    0.179500      0.934823
    0.180500      0.934116
    0.181500      0.933406
    0.182500      0.932693
    0.183500      0.931976
    0.184500      0.931255
    0.185500      0.930531
    0.186500      0.929804
    0.187500      0.929074
    0.188500      0.928340
    0.189500      0.927602
    0.190500      0.926861
    0.191500      0.926117
    0.192500      0.925370
    0.193500      0.924619
    0.194500      0.923865
    0.195500      0.923107
    0.196500      0.922346
    0.197500      0.921582
    0.198500      0.920814
    0.199500      0.920043
    0.200500      0.919269
    0.201500      0.918492
    0.202500      0.917711
    0.203500      0.916927
    0.204500      0.916140
    0.205500      0.915349
    0.206500      0.914555
    0.207500      0.913758
    0.208500      0.912958
    0.209500      0.912154
    0.210500      0.911348
    0.211500      0.910538
    0.212500      0.909725
    0.213500      0.908908
    0.214500      0.908089
    0.215500      0.907266
    0.216500      0.906440
    0.217500      0.905611
    0.218500      0.904779
    0.219500      0.903943
    0.220500      0.903105
    0.221500      0.902263
    0.222500      0.901419
    0.223500      0.900571
    0.224500      0.899720
    0.225500      0.898866
    0.226500      0.898009
    0.227500      0.897149
    0.228500      0.896286
    0.229500      0.895419
    0.230500      0.894550
    0.231500      0.893678
    0.232500      0.892802
    0.233500      0.891924
    0.234500      0.891043
    0.235500      0.890158
    0.236500      0.889271
    0.237500      0.888381
    0.238500      0.887487
    0.239500      0.886591
    0.240500      0.885692
    0.241500      0.884790
    0.242500      0.883884
    0.243500      0.882976
    0.244500      0.882066
    0.245500      0.881152
    0.246500      0.880235
    0.247500      0.879315
    0.248500      0.878393
    0.249500      0.877468
    0.250500      0.876539
    0.251500      0.875608
    0.252500      0.874674
    0.253500      0.873738
    0.254500      0.872798
    0.255500      0.871856
    0.256500      0.870911
